tidy_tweet,sentiment_vader,vader_result
live bjp national president shri india tv aap ki adalat amitshahatindiatv,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
congress opposition party questioned modi government airstrike surgical strike pakis,23.0% negative,"{'neg': 0.23, 'neu': 0.556, 'pos': 0.214, 'compound': 0.2023}"
congress government encouraged illegal infiltrator vote bank politics want assure peo,36.9% positive,"{'neg': 0.214, 'neu': 0.417, 'pos': 0.369, 'compound': 0.1531}"
one side selfish distorted confused gathbandhan rahul gandhi hand,49.7% negative,"{'neg': 0.497, 'neu': 0.307, 'pos': 0.196, 'compound': -0.5994}"
year congress nothing development assam former pm manmohan singh member rajya sabh,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
glimpse public meeting jorhat assam,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
great enthusiasm public meeting kaliabor assam congress aiudf unholy nexus assam congre,41.199999999999996% positive,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.7906}"
live shri address public meeting teok assam indiawithnamo,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
live shri addressing public meeting kaliabor assam indiawithnamo,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
campaign lok sabha election begin addressing two public meeting assam one kaliabor,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
truth proficient scientist always talent capability needed go ahead,42.1% positive,"{'neg': 0.0, 'neu': 0.579, 'pos': 0.421, 'compound': 0.6249}"
anti satellite asat missile successfully tested space seems people earth also got,20.599999999999998% positive,"{'neg': 0.148, 'neu': 0.645, 'pos': 0.206, 'compound': 0.2263}"
thus speaks inheritor dynasty think nation stage sacrifice soldier,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
proud moment indian congratulate scientist involved missionshakti thank pr,59.5% positive,"{'neg': 0.0, 'neu': 0.405, 'pos': 0.595, 'compound': 0.8316}"
decisive leadership lead stronger nation missionshakti india registered presence among e,36.0% positive,"{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.5423}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
bjpvijaysan,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
mainbhichowkida,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
latest announcement congress party tested simple arithmetic le rd existi,23.1% positive,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}"
last year govt headed pm introduced dbt bank besides subsidy food fertil,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
today industrial worker get month minimum starting salary govt th cpc,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
nehruvian model stagnated growth indira gandhi gave legendary slogan garibi hatao amp redistributed pover,16.7% positive,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}"
political party betrayed india seven decade congress party gave people india,31.0% positive,"{'neg': 0.23, 'neu': 0.46, 'pos': 0.31, 'compound': 0.1027}"
prime minister narendra modi already giving poor much congress promise,31.8% positive,"{'neg': 0.209, 'neu': 0.473, 'pos': 0.318, 'compound': 0.1531}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
sharing interesting section website give comprehensive glimpse nda government work vario,48.4% positive,"{'neg': 0.0, 'neu': 0.516, 'pos': 0.484, 'compound': 0.7579}"
join prime minister shri st march pm strengthen mainbhichowkidar movement look forw,31.0% positive,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5423}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
congress president must apologise soldier martyr family people country,24.5% positive,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.3818}"
making anti national statement politics appeasement vote bank congress party dirty old trick mor,33.5% negative,"{'neg': 0.335, 'neu': 0.524, 'pos': 0.141, 'compound': -0.4019}"
congress party say answer terrorist attack peaceful talk action like,39.6% positive,"{'neg': 0.368, 'neu': 0.236, 'pos': 0.396, 'compound': -0.1027}"
saying country held responsible people rahul also agree pakista,40.699999999999996% positive,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.5859}"
want ask rahul gandhi agrees sam pitroda statement consider heinous pulwama terrorist att,26.400000000000002% negative,"{'neg': 0.264, 'neu': 0.562, 'pos': 0.174, 'compound': -0.5574}"
live medium briefing bjp national president shri bjp hq congressinsultsindia,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,0.0% neutral,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
central election committee meeting bjp hq new delhi,100.0% neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
